Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 02:26:25.367,114437.3,0.002,BTCUSDT
2025-09-30 02:26:25.367,114437.4,0.001,BTCUSDT
2025-09-30 02:26:25.367,114437.4,0.001,BTCUSDT
2025-09-30 02:26:25.367,114437.4,0.064,BTCUSDT
2025-09-30 02:26:25.367,114437.4,0.001,BTCUSDT
2025-09-30 02:26:25.367,114437.5,0.001,BTCUSDT
2025-09-30 02:26:25.367,114437.8,0.001,BTCUSDT
2025-09-30 02:26:25.368,114437.9,0.002,BTCUSDT
2025-09-30 02:26:25.368,114438.1,0.002,BTCUSDT
2025-09-30 02:26:25.368,114438.2,0.001,BTCUSDT
2025-09-30 02:26:25.368,114438.2,0.001,BTCUSDT
2025-09-30 02:26:25.368,114438.2,0.001,BTCUSDT
2025-09-30 02:26:25.368,114438.4,0.003,BTCUSDT
2025-09-30 02:26:25.368,114438.5,0.002,BTCUSDT
2025-09-30 02:26:25.368,114438.7,0.002,BTCUSDT
2025-09-30 02:26:25.368,114438.8,0.062,BTCUSDT
2025-09-30 02:26:25.369,114438.8,0.004,BTCUSDT
2025-09-30 02:26:25.369,114438.9,0.001,BTCUSDT
2025-09-30 02:26:25.369,114438.9,0.002,BTCUSDT
2025-09-30 02:26:25.369,114439.0,0.002,BTCUSDT
2025-09-30 02:26:25.369,114439.1,0.002,BTCUSDT
2025-09-30 02:26:25.369,114439.3,0.005,BTCUSDT
2025-09-30 02:26:25.369,114439.5,0.001,BTCUSDT
2025-09-30 02:26:25.369,114439.7,0.002,BTCUSDT
2025-09-30 02:26:25.369,114439.8,0.002,BTCUSDT
2025-09-30 02:26:25.369,114439.8,0.001,BTCUSDT
2025-09-30 02:26:25.369,114440.0,0.001,BTCUSDT
2025-09-30 02:26:25.369,114440.0,0.002,BTCUSDT
2025-09-30 02:26:25.369,114440.2,0.001,BTCUSDT
2025-09-30 02:26:25.369,114440.2,0.06,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.002,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.001,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.001,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.001,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.001,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.001,BTCUSDT
2025-09-30 02:26:25.381,114440.3,0.001,BTCUSDT
2025-09-30 02:26:25.381,114440.4,0.003,BTCUSDT
2025-09-30 02:26:25.407,114440.5,0.044,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
2025-09-30 02:26:25.497,114440.6,0.001,BTCUSDT
